Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,17620
design__instance__area,146960
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,137
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008649705559946597
power__switching__total,0.00042680505430325866
power__leakage__total,4.276729725916084E-8
power__total,0.0012918183347210288
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.2379019271140783
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.34829781711273394
timing__hold__ws__corner:nom_tt_025C_1v80,0.24260993900545552
timing__setup__ws__corner:nom_tt_025C_1v80,8.444159388506904
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.353526
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,390
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,8
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.339891902021927
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4103268674312625
timing__hold__ws__corner:nom_ss_100C_1v60,0.21944180427233817
timing__setup__ws__corner:nom_ss_100C_1v60,5.746645988392173
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.006096
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.1871016727841806
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.32073364316698233
timing__hold__ws__corner:nom_ff_n40C_1v95,0.09907408507350621
timing__setup__ws__corner:nom_ff_n40C_1v95,9.442720650448603
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.099074
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,545
design__max_fanout_violation__count,1
design__max_cap_violation__count,11
clock__skew__worst_hold,-2.1821052249428483
clock__skew__worst_setup,0.31484102327482716
timing__hold__ws,0.09680745368232677
timing__setup__ws,5.579759034967474
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.096807
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 400.0 400.0
design__core__bbox,5.52 10.88 394.22 388.96
design__io,300
design__die__area,160000
design__core__area,146960
design__instance__count__stdcell,4121
design__instance__area__stdcell,25288
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.172074
design__instance__utilization__stdcell,0.172074
design__rows,139
design__rows:unithd,139
design__sites,117455
design__sites:unithd,117455
design__instance__count__class:buffer,84
design__instance__area__class:buffer,420.403
design__instance__count__class:inverter,1
design__instance__area__class:inverter,3.7536
design__instance__count__class:sequential_cell,289
design__instance__area__class:sequential_cell,6147.15
design__instance__count__class:multi_input_combinational_cell,799
design__instance__area__class:multi_input_combinational_cell,6726.45
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,13499
design__instance__area__class:fill_cell,121672
design__instance__count__class:tap_cell,2115
design__instance__area__class:tap_cell,2646.29
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1359.29
design__instance__displacement__mean,0.309
design__instance__displacement__max,14.025
route__wirelength__estimated,93008.5
design__violations,0
design__instance__count__class:timing_repair_buffer,751
design__instance__area__class:timing_repair_buffer,8401.81
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,67
design__instance__area__class:clock_buffer,890.854
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,23.7728
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,250
global_route__vias,9
global_route__wirelength,136599
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,11
route__net,2051
route__net__special,2
route__drc_errors__iter:0,0
route__wirelength__iter:0,104822
route__drc_errors__iter:1,1
route__wirelength__iter:1,104826
route__drc_errors__iter:2,1
route__wirelength__iter:2,104826
route__drc_errors__iter:3,0
route__wirelength__iter:3,104814
route__drc_errors,0
route__wirelength,104822
route__vias,13290
route__vias__singlecut,13290
route__vias__multicut,0
design__instance__count__class:antenna_cell,11
design__instance__area__class:antenna_cell,27.5264
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,32
design__critical_disconnected_pin__count,0
route__wirelength__max,752.695
timing__unannotated_net__count__corner:nom_tt_025C_1v80,125
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,125
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,125
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
